id,Title,User name,User Location,District,Participant Count,Men,Women,Children,Date of Discussion,Challenges,Solutions,Author,Organization,Language,Session Created At,Image Urls,PDF Urls,Transcript Link
"3,073",Ground realities: Education challenges and community responses,ranichandrasekhar,"halebudanuru, mandya, karnataka",Mandya,50,,,,2025-06-05,1. Lack of infrastructure | 2. Subject wise teacher recruitment | 3. Child marriage | 4. Children of immigrant families,1. SDMC | 2. Gram Panchayat | 3. Department of Education | 4. Local organizations | 5. Department of Labor,120,padi,en,"June 6, 2025, 3:23 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3073/1749203820-1000734279.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3073/1749203811-1000734135.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3073/1749203842-1000734215.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3073/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,ixhfxw7xkast72rwmic1aav670lpwfhw
"3,074",Infrastructure challenges and community responses in Mangala Village,bhagyamma keey,"mangala graama, mandya, karnataka",Mandya,40,,,,2025-06-06,"1. The community faces challenges related to infrastructure, including the need for better roads and facilities. | 2. There is a shortage of teachers at the local school, which affects the quality of education. | 3. Child marriage is a prevalent problem in the community, which hinders the education and development of young girls.","1. Solutions such as creating awareness about the importance of infrastructure development, conducting inspections, and seeking help from the Gram Panchayat were discussed. | 2. The community plans to use its educational resources, such as volunteers, to teach and write letters to the Department of Education requesting the appointment of guest teachers or permanent teachers. | 3. Organizing awareness programs on the ban on child marriage, banning child marriage in homes, and informing the concerned authorities if child marriage is found are some of the solutions discussed to address child marriage.",120,padi samsthe,en,"June 6, 2025, 3:25 PM",,https://mohini-static.shikshalokam.org/chatbot/storymedia/3074/ಮಗಳ_ಗರಮದಲಲನ_ಮಲಸಕರಯ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,v22awrdpqro9fwdadfy28ep80xdn7043
"3,075",Ground realities: Education challenges and community responses,bhoomika,"b goudagere, mandya, karnataka",Mandya,20,,,,2025-06-06,1. The community faces challenges in providing basic amenities to children. | 2. Child marriage is a prevalent problem in the community.,"1. We try to solve the problems after listening to the children first, otherwise we ask the Panchayat to fix it.",120,padi,en,"June 6, 2025, 3:24 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3075/1749205312-1000087410.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3075/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,ocdp127vavgevoiytxx4utiset2ajzfm
"3,076",Addressing school infrastructure and preventing child marriage,veenaa bii,"mysuru, karnataka",Mysore,40,,,,2025-06-06,"1. The community is facing challenges related to school infrastructure, which affects the quality and safety of children's education. | 2. The community faces challenges in preventing child marriage, which is a significant social problem.","1. Reviewing the location of the school in a way that is safe and accessible for children, which will help address the infrastructure challenge.",120,padisamsthe mangaluru,en,"June 6, 2025, 3:50 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3076/1749205497-IMG_20250531_164029.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3076/ಶಲ_ಮಲಸಕರಯವನನ_ಉದದಶಸ_ಮತತ_ಬಲಯವವಹವನನ_ತಡಗಟಟವದ.pdf,1x1i9prai38cqcl57f2l0t6dmittoh66
"3,077",Ground realities: Education challenges and community responses,ashwini s r,"santekasalagere, mandya, karnataka",Mandya,10,,,,2025-06-06,1. Providing basic facilities to school children.,"1. Provision of pens and books by the association. | 2. Tell the SDMC, tell the officials.",120,padi samsthe,en,"June 6, 2025, 3:39 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3077/1749206109-IMG-20250606-WA0006.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3077/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,r0yursd2lx4c9tyicb9ed4h5v9cay2e2
"3,078",Ground realities: Education challenges and community responses,pushpalatha,"nagavala, maisur, karnataka",Mysore,5,,,,2025-06-06,1. Community faces challenges with transit buses,1. Community,120,ipeii,en,"June 6, 2025, 10:07 PM",,https://mohini-static.shikshalokam.org/chatbot/storymedia/3078/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,9zi9v0uzqz3sjjt0ppt2d8968ymgnawa
"3,137",Ground realities: Education challenges and community responses,shweta,"basavana giri, mysuru, karnataka",Mysore,15,,,,2025-06-15,1. The community shared that the bad road was a challenge.,1. One solution is to apply to the Panchayat.,120,all india panchayat,en,"June 15, 2025, 1:21 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3137/1749974562-IMG_20250608_184300.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3137/1749974526-IMG_20250608_184300.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3137/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,lola5azfv4ym7bitxkaxtxhq7qir54ob
"3,139",Ground realities: Education challenges and community responses,puttamma s d,"ankanthapura, mysore, karnataka",Mysore,20,,,,2025-06-15,1. I don't take the bus to school.,"1. Yes, the bus depot application is outdated.",120,ipei poundetion,en,"June 15, 2025, 1:20 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3139/1749975386-IMG_20241212_120856.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3139/1749975477-IMG_20241223_124726.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3139/1749975571-IMG_20250304_113743.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3139/1749975729-IMG_20241212_124239.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3139/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,ltqlgozsubfxy5y5fph8n60mpy2dyxb5
"3,140",Shortage of teachers in schools,kaavya,"udbhur kaaloni, mysuru, karnataka",Mysore,20,,,,2025-06-15,1. There is a shortage of teachers to start LKG and UKG in the school.,1. A petition was written to the department regarding the shortage of teachers.,120,ipei,en,"June 15, 2025, 1:20 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3140/1749975414-IMG20250610114353.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3140/ಶಲಗಳಲಲ_ಶಕಷಕರ_ಕರತ.pdf,i7c3u4iu2s1lx1girrefsztylu2336b4
"3,141",Ground realities: Education challenges and community responses,ambika,"hairige, mysuru, karnataka",Mysore,25,,,,2025-06-15,1. There is a compound problem at school. | 2. Toilet problem in school | 3. Child marriage problem,1. The issue of submitting an application to the Panchayat Development Officer and the Village President was discussed.,120,aii pii aii foundation,en,"June 15, 2025, 1:23 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3141/1749975283-1000242371.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3141/1749975308-1000242371.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3141/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,6mp6gb4ghjr1tjm2to63gas63dy8h534
"3,142",Addressing infrastructure challenges in rural schools,sumalatha,"ankapura, mysore, karnataka",Mysore,15,,,,2025-06-15,"1. The building is not in good condition, which affects the learning environment and safety of students.",1. The school principal and the education department submit an application to the Department of Education to resolve the building issue.,120,i pei foundation,en,"June 15, 2025, 1:23 PM",,https://mohini-static.shikshalokam.org/chatbot/storymedia/3142/ಗರಮಣ_ಶಲಗಳಲಲನ_ಮಲಸಕರಯ_ಸವಲಗಳನನ_ಎದರಸವದ.pdf,wcymcarkgtljf48yuiwxt93jvsgv23he
"3,143",Ground realities: Education challenges and community responses,sannamma,"anooru, mysuru, karnataka",Mysore,20,,,,2025-06-15,1. There is a compound problem at school. | 2. It was discussed in the meeting to apply it to our Annur Gram Panchayat.,1. An application was written to the Panchayat.,120,ipei poundation,en,"June 15, 2025, 1:21 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3143/1749975492-IMG_20250615_065745.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3143/1749975538-IMG_20250610_112849.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3143/1749975700-IMG_20250615_134219.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3143/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,1ftrgr3gd5h130cl3qxornnfurudd3k1
"3,146",Infrastructure challenges in rural schools,ambika,"hairege, mysuru, karnataka",Mysore,40,,,,2025-06-15,1. Lack of toilets for children | 2. Playground problem,1. Applying to the Gram Panchayat.,120,aipi,en,"June 15, 2025, 6:58 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3146/1749994463-1000244936.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3146/1749994546-1000244922.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3146/ಗರಮಣ_ಶಲಗಳಲಲ_ಮಲಸಕರಯ_ಸವಲಗಳ.pdf,8s464pxz7rj9djv2qrs17rdq0bbki37e
"3,152",Ground realities: Education challenges and community responses,ambika hhs,"madapur, mysuru, karnataka",Mysore,59,,,,2025-06-16,1. Bus problem for children to go to school. | 2. The problem of children's school enrollment. | 3. Problem of clean drinking water in school.,1. The concerned bus manager was asked to submit the application by the villagers. | 2. Village councils were asked to hold meetings to enroll more children in school. | 3. There was a discussion about applying to the Gram Panchayat for clean drinking water for the children.,120,aipi ii ell,en,"June 16, 2025, 5:06 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3152/1750074166-1000246751.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3152/1750074176-1000246746.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3152/1750074185-1000233296.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3152/1750074202-1000246731.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3152/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,i98izy7sgyqyle1dc10wko7cp2vec981
"3,154",Challenges and solutions to child marriage and education,hamsaveni,"sollapur, mysuru, karnataka",Mysore,20,,,,2025-06-16,1. Child marriage of girls under the age of 18 hinders education. | 2. Marrying at a young age makes them less knowledgeable about general knowledge and more likely to experience problems both mentally and physically. | 3. Being backward in studies and lacking in general knowledge,"1. Working in education centers or women's self-help groups to educate the public about child marriage and what kinds of laws can be implemented to prevent it, and working together with women and children. | 2. If child marriages are taking place in neighboring homes, inform Child Line and immediately inform the police station.",120,aipie,en,"June 16, 2025, 8:52 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3154/1750088045-IMG20250616161602.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3154/ಬಲಯವವಹ_ಮತತ_ಶಕಷಣಕಕ_ಸವಲಗಳ_ಮತತ_ಪರಹರಗಳ.pdf,kje82pxsz6vyxorz2x9hzxg485uwl81r
"3,155",Infrastructure Challenges and Solutions in Rural Schools,ambika,"madapur, mysore, karnataka",Mysore,10,,,,2018-06-17,1. A complex problem at school | 2. Teacher shortage,1. The community discussed applying to the Gram Panchayat for relief. | 2. They were asked to apply to the BO office for the appointment of additional teachers.,120,aippii,en,"June 17, 2025, 7:29 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3155/1750169148-1000246726.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3155/ಗರಮಣ_ಶಲಗಳಲಲ_ಮಲಸಕರಯ_ಸವಲಗಳ_ಮತತ_ಪರಹರಗಳ.pdf,fou3kmngr2dtq5i9bsxjo39towwffo4o
"3,156",Infrastructure challenges in rural schools,ambika,"madapur, maisur, karnataka",Mysore,10,,,,2025-06-17,1. Lack of toilets for children in schools | 2. Children's assessment of teacher shortage.,1. Submit an application to the Gram Panchayat President and Gram Panchayat Development Officer to address the shortage of toilets. | 2. Apply to the Education Office to hire two more teachers.,120,ipel,en,"June 17, 2025, 7:45 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3156/1750170257-1000086750.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3156/ಗರಮಣ_ಶಲಗಳಲಲ_ಮಲಸಕರಯ_ಸವಲಗಳ.pdf,kjv2brijnf0hdvpgdg3j3h7cc2lmse32
"3,157",Ground realities: Education challenges and community responses,ambika h. s,"madapur, mysuru, karnataka",Mysore,10,,,,2025-06-17,1. Child marriage is a major challenge in the community. | 2. A large number of girls do not have toilet facilities. | 3. The number of girls enrolling in school has increased.,1. Visit Anganwadis and provide information about preventing child marriage. | 2. The villagers were asked to visit the Gram Panchayat and submit an application.,120,ipel,en,"June 17, 2025, 8:34 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3157/1750173085-1000248542.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3157/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,c2r98evynzx3dzzmpvz33iang8uf78tp
"3,158",Ground realities: Education challenges and community responses,ambika h. s,"kodagala, mysuru, karnataka",Mysore,15,,,,2025-06-17,1. Out-of-school recruitment | 2. Efforts are being made to enroll more children in government schools.,"1. Visiting village councils and submitting applications | 2. Raising awareness about children's education in the presence of people, so that they can be added to the queue.",120,all india panchayat council,en,"June 17, 2025, 9:12 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3158/1750175328-1000246835.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3158/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,68dr8ikavjr1jsbbnrnfy9f39ln65sgj
"3,160",Financial Challenges and Solutions in Rural Education,ambika h. s,"madapur, jp mysuru, karnataka",Mysore,20,,,,2025-06-18,1. The problem of parental poverty in the family | 2. Financial problem,1. Discussion was held on creating and providing self-employment opportunities within the family. | 2. Gather all the people in the village and inform them that the liquor store will be canceling sales.,120,ipel,en,"June 18, 2025, 6:56 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3160/1750253462-1000250419.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3160/ಗರಮಣ_ಶಕಷಣದಲಲ_ಆರಥಕ_ಸವಲಗಳ_ಮತತ_ಪರಹರಗಳ.pdf,1y4rqy7qkzlkc0uxiogrmcnzwhycfkm5
"3,162",Ground realities: Education challenges and community responses,puttamma s d,"tharaka, mysore, karnataka",Mysore,15,,,,2025-06-18,1. The community has expressed concern about the impact of school closures on children's education. | 2. The community faces challenges in accessing higher education. | 3. The road system in this area is not good.,"1. To face the challenges, all the members have decided to apply to the Gram Panchayat. | 2. Any other solution that helps solve the challenges.",120,ipei foundation,en,"June 18, 2025, 10:35 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3162/1750267026-IMG-20250618-WA0026.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3162/1750267049-IMG-20250618-WA0022.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3162/1750267078-IMG-20250618-WA0024.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3162/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,hj7tkp2blhi1mlnhp7gwpvpik0kqtth7
"3,163",Ground realities: Education challenges and community responses,shweta,"sonahalli, mysuru, karnataka",Mysore,20,,,,2025-06-17,1. The community is facing an electricity problem. | 2. The sewage system is not working properly. | 3. There is a problem with the registration of school dropouts.,"1. Submitting an application to the Panchayat to resolve the electricity problem, sewage system and enrollment of school dropouts. | 2. Raising awareness to enroll school dropouts in schools.",120,aipie foundation,en,"June 19, 2025, 5:33 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3163/1750335539-1750335506268.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3163/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,tyimqzlbe6iihhymfxw8isujjquu1q6l
"3,164","Challenges and transportation issues in enrolling children in high schools in Budanur Hodi, Mysore, Karnataka",shwetha,"budanuru, mysuru, karnataka",Mysore,20,,,,2025-06-18,"1. The community faces challenges in enrolling children in secondary schools for further education. | 2. The transportation system is a significant problem, making it difficult for children to reach school on time.",1. Enrolling children in high school to ensure they receive an education. | 2. Arrange transportation so that children reach school on time.,120,aipie foundation,en,"June 19, 2025, 5:58 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3164/1750337017-IMG-20200217-WA0007.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3164/ಕರನಟಕದ_ಮಸರನ_ಬಡನರ_ಹಡಯಲಲ_ಪರಢಶಲಗಳಗ_ಮಕಕಳನನ_ಸರಸಕಳಳವಲಲನ_ಸವಲಗಳ_ಮತತ_ಸರಗ_ಸಮಸಯಗಳ.pdf,9v6dr5u359ziwo6r21qz01fe57pdkyyx
"3,165",Transportation and education challenges in Budanur Hoddi,shweta,"budanuru hoddy, mysuru, karnataka",Mysore,20,,,,2025-06-18,1. The community faces challenges in the transportation system that affect children's education. | 2. Another challenge they face is getting their children into high school.,1. An application will be submitted to the Panchayat to arrange transportation on time. | 2. Awareness will be created to encourage further education by enrolling children in high school.,120,aipie foundation,en,"June 19, 2025, 6:14 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3165/1750337718-IMG_20250619_182439.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3165/1750337779-Screenshot_20250619_182356.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3165/ಬಡನರ_ಹಡಡಯಲಲ_ಸರಗ_ಮತತ_ಶಕಷಣದ_ಸವಲಗಳ.pdf,wmrvnryyflhna6kyo9xem636chaob555
"3,166",Community discussion on education challenges and solutions,shweta,"seeguru kere hoddy, mysuru, karnataka",Mysore,10,,,,2025-06-19,1. The community shared about the Forest Rights Act and its impact on their lives. | 2. The community also discussed the issues related to boarding the school bus and the challenges they face.,1. Awareness was created to encourage people to go to the department and get the claim form themselves. | 2. People were also asked to apply for access to school vehicles to solve the problem of accessing education.,120,aipie foundation,en,"June 19, 2025, 6:43 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3166/1750339324-IMG_20250619_183335.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3166/1750339302-Screenshot_20250619_183237.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3166/ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಪರಹರಗಳ_ಕರತ_ಸಮದಯ_ಚರಚ.pdf,mlms07uh0xwltxm8xu2tr0ud1oniebwl
"3,167",Ground realities: Education challenges and community responses,ambika hs,"kolagala, mysuru, karnataka",Mysore,20,,,,2025-06-19,1. The problem of domestic violence | 2. About marriage of girls according to age,1. Community members seek legal help when family disputes arise at home. | 2. It was discussed in the family that every girl should get married after the age of 18.,120,ipel,en,"June 19, 2025, 7:52 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3167/1750343517-1000246746.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3167/1750343305-1000246746.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3167/1750343465-1000148308.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3167/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,vr90d78859waupw5vngtrezopl44j90q
