id,state,district,Date of Discussion
"2,850",bihar,sheohar,2025-05-19
"2,860",bihar,sheohar,2025-05-19
"2,868",bihar,sheohar,2025-05-25
"2,877",bihar,muzaffarpur,2025-05-30
"2,891",bihar,sheohar,2025-05-25
"2,892",bihar,muzaffarpur,2025-05-19
"2,893",bihar,muzaffarpur,2025-05-19
"2,897",bihar,muzaffarpur,2025-05-21
"2,913",bihar,muzaffarpur,2025-05-27
"2,919",bihar,muzaffarpur,2025-05-20
"2,923",bihar,muzaffarpur,2025-05-20
"2,925",bihar,muzaffarpur,2025-05-20
"2,928",bihar,sheohar,2025-05-22
"2,930",bihar,kaimur,2025-05-21
"2,933",bihar,sheohar,2025-05-16
"2,957",bihar,muzaffarpur,2025-05-23
"2,972",bihar,muzaffarpur,2025-05-30
"2,987",bihar,kaimur,2025-05-22
"2,997",bihar,kaimur,2025-05-17
"3,010",bihar,kaimur,2025-05-24
"3,014",bihar,muzaffarpur,2025-05-22
"3,018",bihar,sheohar,2025-05-22
"3,032",bihar,sheohar,2025-05-23
"3,109",bihar,kaimur,2025-05-26
"3,115",bihar,kaimur,2025-05-16
"3,117",bihar,kaimur,2025-05-21
"3,124",bihar,kaimur,2025-05-20
"3,130",bihar,kaimur,2025-05-22
"3,148",bihar,kaimur,2025-05-17
"3,259",bihar,sheohar,2025-03-23
"3,268",bihar,sheohar,2025-03-27
"4,001",bihar,sitamarhi,2025-05-20
"4,021",bihar,sitamarhi,2025-05-20
"4,043",bihar,sitamarhi,2025-05-16
"4,064",bihar,sitamarhi,2025-05-20
"4,077",bihar,muzaffarpur,2025-02-15
"4,311",bihar,gaya,2025-09-02
"4,312",bihar,gaya,2025-09-02
"4,339",bihar,gaya,2025-09-02
"4,348",bihar,gaya,2025-09-02
"4,358",bihar,gaya,2025-09-02
"4,398",bihar,kaimur,2025-09-03
"4,406",bihar,rohtas,2025-09-04
"4,411",bihar,rohtas,2025-09-04
"4,414",bihar,rohtas,2025-09-04
"4,423",bihar,rohtas,2025-09-04
"4,431",bihar,rohtas,2025-09-04
"4,448",bihar,rohtas,2025-09-04
"4,459",bihar,rohtas,2025-09-04
"4,470",bihar,kaimur,2025-08-30
"4,474",bihar,kaimur,2025-09-05
"4,489",bihar,kaimur,2025-09-03
"4,491",bihar,kaimur,2025-05-30
"4,504",bihar,kaimur,2025-05-05
"4,506",bihar,kaimur,2025-08-30
"4,511",bihar,gaya,2025-09-05
"4,519",bihar,rohtas,2025-05-06
"4,521",bihar,rohtas,2025-09-04
"4,522",bihar,rohtas,2025-09-05
"4,533",bihar,patna,2025-09-05
"4,535",bihar,patna,2025-09-05
"4,540",bihar,patna,2025-09-04
"4,570",bihar,muzaffarpur,2025-09-07
"4,575",bihar,muzaffarpur,2025-09-07
"4,585",bihar,muzaffarpur,2025-09-07
"4,586",bihar,muzaffarpur,2025-09-07
"4,588",bihar,muzaffarpur,2025-09-07
"4,654",bihar,sitamarhi,2025-09-08
"4,658",bihar,sitamarhi,2025-09-08
"4,665",bihar,sitamarhi,2025-09-08
"4,671",bihar,sitamarhi,2025-09-08
"4,674",bihar,sitamarhi,2025-09-04
"4,679",bihar,sitamarhi,2025-09-08
"4,684",bihar,sitamarhi,2025-09-08
"4,690",bihar,sitamarhi,2025-09-08
"4,705",bihar,sitamarhi,2025-09-08
"4,731",bihar,sheohar,2025-09-08
"4,734",bihar,sheohar,2025-09-09
"4,748",bihar,sitamarhi,2025-09-09
"4,761",bihar,sitamarhi,2025-09-09
"4,766",bihar,sitamarhi,2025-09-10
"4,772",bihar,sitamarhi,2025-09-09
"4,796",bihar,sitamarhi,2025-09-04
"4,798",bihar,sitamarhi,2025-09-05
"4,813",bihar,sitamarhi,2025-09-11
"4,816",bihar,rohtas,2025-09-10
"4,825",bihar,rohtas,2025-09-11
"4,833",bihar,muzaffarpur,2025-09-11
"4,852",bihar,vaishali,2025-09-10
"4,863",bihar,vaishali,2025-09-12
"4,872",bihar,vaishali,2025-09-12
"4,877",bihar,vaishali,2025-09-12
"4,880",bihar,muzaffarpur,2025-09-11
"4,888",bihar,patna,2025-09-11
"4,892",bihar,kaimur,2025-09-13
"4,904",bihar,gaya,2025-09-13
"4,907",bihar,sitamarhi,2015-09-15
"4,933",bihar,muzaffarpur,2025-09-14
"4,939",bihar,kaimur,2025-09-04
"4,955",bihar,rohtas,2025-09-15
"4,960",bihar,kaimur,2025-09-15
"5,074",bihar,kaimur,2025-09-16
"5,089",bihar,rohtas,2025-09-16
"5,103",bihar,sitamarhi,2025-09-16
"5,105",bihar,muzaffarpur,2025-09-16
"5,109",bihar,muzaffarpur,2025-09-16
"5,113",bihar,sitamarhi,2025-09-16
"5,119",bihar,rohtas,2025-09-16
"5,120",bihar,gaya,2025-09-16
"5,123",bihar,muzaffarpur,2025-09-16
"5,128",bihar,rohtas,2025-09-16
"5,134",bihar,kaimur,2025-09-16
"5,144",bihar,rohtas,2025-09-16
"5,151",bihar,rohtas,2025-09-16
"5,152",bihar,rohtas,2025-09-16
"5,170",bihar,rohtas,2025-09-16
"5,177",bihar,sitamarhi,2025-09-16
"5,193",bihar,sitamarhi,2025-09-16
"5,194",bihar,muzaffarpur,2025-09-16
"5,195",bihar,sitamarhi,2025-09-16
"5,196",bihar,rohtas,2025-09-16
"5,207",bihar,sitamarhi,2025-09-16
"5,208",bihar,rohtas,2025-09-16
"5,218",bihar,vaishali,2025-09-16
"5,244",bihar,sitamarhi,2025-09-16
"5,262",bihar,kaimur,2025-09-16
"5,264",bihar,rohtas,2025-09-16
"5,286",bihar,sitamarhi,2025-09-16
"5,302",bihar,vaishali,2025-09-16
"5,323",bihar,sitamarhi,2025-09-16
"5,328",bihar,rohtas,2025-09-16
"5,330",bihar,rohtas,2025-09-16
"5,341",bihar,gaya,2025-09-16
"5,345",bihar,sitamarhi,2025-09-16
"5,351",bihar,rohtas,2025-09-16
"5,358",bihar,sitamarhi,2025-09-16
"5,359",bihar,gaya,2025-09-16
"5,366",bihar,sheohar,2025-09-16
"5,375",bihar,sitamarhi,2025-09-16
"5,378",bihar,vaishali,2025-09-16
"5,406",bihar,west champaran,2025-09-16
"5,410",bihar,kaimur,2025-09-16
"5,414",bihar,west champaran,2025-09-16
"5,422",bihar,sitamarhi,2025-09-16
"5,430",bihar,vaishali,2025-09-16
"5,439",bihar,kaimur,2025-09-16
"5,443",bihar,west champaran,2025-09-16
"5,449",bihar,kaimur,2025-09-16
"5,458",bihar,kaimur,2025-09-16
"5,460",bihar,sheohar,2025-09-16
"5,463",bihar,sitamarhi,2024-09-16
"5,468",bihar,gaya,2025-09-16
"5,471",bihar,sitamarhi,2025-09-16
"5,476",bihar,sitamarhi,2025-09-16
"5,484",bihar,gaya,2025-09-16
"5,503",bihar,kaimur,2025-09-16
"5,520",bihar,gaya,2025-09-16
"5,521",bihar,gaya,2025-09-16
"5,522",bihar,sitamarhi,2025-09-16
"5,532",bihar,sitamarhi,2025-09-16
"5,546",bihar,kaimur,2025-09-16
"5,551",bihar,rohtas,2025-09-16
"5,553",bihar,rohtas,2025-09-16
"5,567",bihar,sitamarhi,2025-09-16
"5,585",bihar,gaya,2025-09-16
"5,600",bihar,sitamarhi,2025-09-17
"5,607",bihar,rohtas,2025-09-17
"5,610",bihar,sitamarhi,2025-09-17
"5,616",bihar,kaimur,2025-09-17
"5,640",bihar,sitamarhi,2025-09-17
"5,672",bihar,west champaran,2025-09-17
"5,682",bihar,sitamarhi,2025-09-17
"5,695",bihar,kaimur,2025-09-17
"5,697",bihar,muzaffarpur,2025-09-16
"5,705",bihar,sitamarhi,2025-09-17
"5,712",bihar,kaimur,2025-09-17
"5,713",bihar,rohtas,2025-09-17
"5,722",bihar,gaya,2025-09-17
"5,723",bihar,sitamarhi,2025-09-16
"5,726",bihar,kaimur,2025-09-17
"5,730",bihar,sitamarhi,2025-09-17
"5,735",bihar,gaya,2025-09-17
"5,737",bihar,patna,2025-09-17
"5,743",bihar,kaimur,2025-09-17
"5,745",bihar,sitamarhi,2025-09-16
"5,757",bihar,rohtas,2025-09-17
"5,792",bihar,sitamarhi,2025-09-17
"5,805",bihar,rohtas,2025-09-17
"5,811",bihar,rohtas,2025-09-17
"5,823",bihar,sitamarhi,2025-09-17
"5,836",bihar,rohtas,2025-09-17
"5,842",bihar,rohtas,2025-09-17
"5,853",bihar,rohtas,2025-09-17
"5,871",bihar,rohtas,2025-09-17
"5,878",bihar,sitamarhi,2025-09-17
"5,891",bihar,sitamarhi,2025-09-09
"5,892",bihar,rohtas,2025-09-17
"5,919",bihar,gaya,2025-09-16
"5,923",bihar,gaya,2025-09-17
"5,935",bihar,kaimur,2025-09-17
"5,947",bihar,gaya,2025-09-17
"5,960",bihar,rohtas,2025-09-17
"5,965",bihar,kaimur,2025-09-05
"5,980",bihar,gaya,2025-09-17
"5,985",bihar,muzaffarpur,2025-09-17
"5,990",bihar,gaya,2025-09-17
"6,003",bihar,gaya,2025-09-17
"6,004",bihar,rohtas,2025-09-17
"6,024",bihar,rohtas,2025-09-17
"6,025",bihar,rohtas,2025-09-17
"6,049",bihar,gaya,2025-09-16
"6,053",bihar,sitamarhi,2025-09-17
"6,057",bihar,rohtas,2025-09-17
"6,058",bihar,sitamarhi,2025-09-16
"6,069",bihar,gaya,2025-09-17
"6,071",bihar,rohtas,2025-09-17
"6,074",bihar,west champaran,2025-09-16
"6,087",bihar,rohtas,2025-09-17
"6,091",bihar,west champaran,2025-09-17
"6,092",bihar,gaya,2025-09-17
"6,093",bihar,kaimur,2025-09-17
"6,096",bihar,sitamarhi,2025-09-17
"6,103",bihar,sitamarhi,2025-09-16
"6,146",bihar,gaya,2025-09-17
"6,153",bihar,rohtas,2025-09-17
"6,167",bihar,muzaffarpur,2025-09-16
"6,174",bihar,rohtas,2025-09-17
"6,197",bihar,gaya,2025-09-16
"6,203",bihar,sitamarhi,2025-09-16
"6,209",bihar,patna,2025-09-17
"6,216",bihar,kaimur,2025-09-17
"6,218",bihar,siwan,2025-09-17
"6,241",bihar,rohtas,2025-09-18
"6,254",bihar,kaimur,2025-09-18
"6,262",bihar,gaya,2025-09-16
"6,264",bihar,sitamarhi,2025-09-18
"6,282",bihar,sitamarhi,2025-09-16
"6,286",bihar,gaya,2025-09-18
"6,289",bihar,rohtas,2025-09-18
"6,295",bihar,gaya,2025-09-17
"6,311",bihar,gaya,2025-09-17
"6,318",bihar,sitamarhi,2025-09-18
"6,327",bihar,rohtas,2025-09-18
"6,328",bihar,sitamarhi,2025-09-18
"6,341",bihar,patna,2025-09-18
"6,343",bihar,rohtas,2025-09-18
"6,352",bihar,rohtas,2025-09-18
"6,357",bihar,muzaffarpur,2025-09-18
"6,391",bihar,rohtas,2025-09-18
"6,401",bihar,sitamarhi,2025-09-18
"6,408",bihar,sheohar,2025-09-18
"6,409",bihar,gaya,2025-09-18
"6,411",bihar,sitamarhi,2025-09-18
"6,430",bihar,rohtas,2025-09-18
"6,441",bihar,sitamarhi,2025-09-18
"6,447",bihar,sitamarhi,2025-09-18
"6,453",bihar,rohtas,2025-09-17
"6,472",bihar,muzaffarpur,2025-09-18
"6,481",bihar,gaya,2025-09-18
"6,493",bihar,sitamarhi,2025-09-18
"6,501",bihar,sitamarhi,2025-09-18
"6,520",bihar,rohtas,2025-09-18
"6,528",bihar,sitamarhi,2025-09-18
"6,530",bihar,west champaran,2025-09-18
"6,534",bihar,gaya,2025-09-18
"6,547",bihar,rohtas,2025-09-18
"6,550",bihar,muzaffarpur,2025-09-16
"6,556",bihar,sitamarhi,2025-09-18
"6,560",bihar,kaimur,2025-09-18
"6,562",bihar,kaimur,2025-09-18
"6,563",bihar,gaya,2025-09-18
"6,568",bihar,west champaran,2025-09-17
"6,570",bihar,sitamarhi,2025-09-18
"6,583",bihar,west champaran,2025-09-18
"6,586",bihar,rohtas,2025-09-18
"6,597",bihar,west champaran,2025-09-18
"6,613",bihar,vaishali,2025-09-18
"6,615",bihar,vaishali,2025-09-18
"6,620",bihar,sitamarhi,2025-09-18
"6,639",bihar,sheohar,2025-09-17
"6,644",bihar,sitamarhi,2025-09-18
"6,650",bihar,kaimur,2025-09-18
"6,652",bihar,rohtas,2025-09-18
"6,665",bihar,west champaran,2025-09-18
"6,684",bihar,muzaffarpur,2025-09-18
"6,686",bihar,vaishali,2025-09-18
"6,698",bihar,gaya,2025-09-18
"6,700",bihar,vaishali,2025-09-18
"6,705",bihar,sitamarhi,2025-04-22
"6,722",bihar,gaya,2025-09-18
"6,724",bihar,sitamarhi,2025-09-18
"6,746",bihar,muzaffarpur,2025-09-18
"6,764",bihar,gaya,2025-09-18
"6,767",bihar,gaya,2025-09-18
"6,826",bihar,muzaffarpur,2025-09-18
"6,828",bihar,kaimur,2025-09-18
"6,845",bihar,kaimur,2025-09-18
"6,851",bihar,sitamarhi,2024-09-17
"6,856",bihar,sitamarhi,2025-09-17
"6,861",bihar,vaishali,2025-09-16
"6,887",bihar,muzaffarpur,2025-09-19
"6,891",bihar,rohtas,2025-09-19
"6,899",bihar,sitamarhi,2025-09-19
"6,918",bihar,sitamarhi,2025-09-19
"6,919",bihar,rohtas,2025-09-19
"6,921",bihar,rohtas,2025-09-19
"6,930",bihar,rohtas,2025-09-19
"6,956",bihar,kaimur,2025-09-19
"6,962",bihar,rohtas,2025-09-19
"6,974",bihar,gaya,2025-09-19
"6,979",bihar,gaya,2025-09-19
"6,980",bihar,gaya,2025-09-19
"7,007",bihar,muzaffarpur,2025-09-17
"7,019",bihar,rohtas,2025-09-19
"7,023",bihar,gaya,2025-09-19
"7,027",bihar,sitamarhi,2025-09-19
"7,029",bihar,muzaffarpur,2025-09-19
"7,061",bihar,siwan,2025-09-19
"7,063",bihar,gaya,2025-09-19
"7,065",bihar,gaya,2025-08-19
"7,067",bihar,kaimur,2025-09-19
"7,069",bihar,rohtas,2025-09-19
"7,083",bihar,gaya,2025-09-18
"7,091",bihar,rohtas,2025-09-19
"7,096",bihar,east champaran,2025-09-19
"7,108",bihar,muzaffarpur,2025-09-19
"7,114",bihar,gaya,2025-09-19
"7,115",bihar,gaya,2025-09-19
"7,121",bihar,rohtas,2025-09-19
"7,134",bihar,gaya,2025-09-19
"7,140",bihar,sheohar,2025-09-19
"7,152",bihar,rohtas,2025-09-19
"7,155",bihar,sitamarhi,2025-09-19
"7,163",bihar,sitamarhi,2025-09-19
"7,169",bihar,east champaran,2025-09-19
"7,173",bihar,sitamarhi,2025-09-18
"7,175",bihar,sitamarhi,2025-09-19
"7,178",bihar,sitamarhi,2025-09-19
"7,185",bihar,rohtas,2025-09-19
"7,189",bihar,kaimur,2025-09-19
"7,201",bihar,west champaran,2025-09-19
"7,207",bihar,kaimur,2025-09-19
"7,221",bihar,sitamarhi,2025-09-19
"7,222",bihar,rohtas,2025-09-19
"7,248",bihar,rohtas,2025-09-19
"7,259",bihar,kaimur,2025-09-19
"7,263",bihar,gaya,2025-09-18
"7,266",bihar,kaimur,2025-09-19
"7,277",bihar,muzaffarpur,2025-09-19
"7,281",bihar,gaya,2025-09-19
"7,291",bihar,rohtas,2025-09-19
"7,296",bihar,sitamarhi,2025-09-19
"7,316",bihar,sitamarhi,2025-09-19
"7,342",bihar,muzaffarpur,2025-09-16
"7,351",bihar,vaishali,2025-09-19
"7,372",bihar,sitamarhi,2025-09-18
"7,377",bihar,vaishali,2025-09-19
"7,378",bihar,rohtas,2025-09-19
"7,392",bihar,sitamarhi,2025-09-18
"7,419",bihar,gaya,2025-09-19
"7,434",bihar,vaishali,2025-09-19
"7,448",bihar,muzaffarpur,2025-09-18
"7,450",bihar,gaya,2025-09-18
"7,451",bihar,patna,2025-09-19
"7,453",bihar,gaya,2025-09-20
"7,460",bihar,patna,2025-09-18
"7,461",bihar,muzaffarpur,2025-09-19
"7,471",bihar,muzaffarpur,2025-09-19
